question,ground_truth,penyakit
"Bagaimana pertolongan pertama untuk penderita penyakit jantung?","Lakukan pertolongan pertama berupa cardiopulmonary resuscitation (CPR) atau resusitasi jantung paru (RJP). Namun, jika memungkinkan, bawalah penderita langsung ke instalasi gawat darurat (IGD) rumah sakit terdekat.","Serangan Jantung"
"Apa saja gejala pada seseorang yang mengalami hipotensi?","Hipotensi tidak selalu menimbulkan gejala. Jika muncul gejala, penderita hipotensi dapat merasakan keluhan berikut:\n\nPusing\nMual dan muntah\nLemas\nPandangan kabur\nLinglung\nSulit berkonsentrasi\nTubuh terasa tidak stabil\nSesak napas\nPingsan","Hipotensi"
"Berapa tekanan darah yang menandakan seseorang mengalami hipotensi?","Tekanan darah normal berkisar antara 90/60 mmHg dan 120/80 mmHg. Seseorang dapat dikatakan menderita hipotensi jika tekanan darahnya berada di bawah rentang tersebut.","Hipotensi"
"Bagaimana metode utama dalam pengobatan penyakit hipotensi?","Metode utama untuk menangani hipotensi adalah perubahan pola makan dan gaya hidup, seperti:\n\nMemperbanyak konsumsi cairan, karena cairan dapat meningkatkan volume darah dan membantu mencegah dehidrasi\nBerolahraga secara teratur untuk meningkatkan tekanan darah\nMengonsumsi suplemen atau obat darah rendah yang bisa didapatkan di apotek\nMenggunakan stoking khusus (stoking kompresi) pada tungkai untuk memperlancar aliran darah","Hipotensi"
"Apa gejala yang menunjukkan seseorang mengalami angin duduk?","Beberapa gejala lain yang dapat menyertai nyeri dada pada angin duduk atau angina adalah:\n\nKeringat dingin\nMual\nPusing\nLemas\nSesak napas","Angin Duduk"
"Bagaimana pertolongan terhadap seseorang yang mengalami angin duduk?","Segera ke IGD jika mengalami gejala angin duduk untuk pertama kalinya. Bila Anda sudah memiliki obat angin duduk, cepatlah minum obat dan beristirahat jika gejala muncul. \n\nNamun, jangan menunda untuk mencari pertolongan medis jika gejala angin duduk tidak membaik atau makin berat, terlebih bila gejala tersebut disertai dengan sesak napas, berkeringat berlebihan, atau nyeri yang menjalar ke lengan, rahang, maupun punggung. \n\nBila ada orang lain, mintalah pertolongannya untuk membawa Anda ke rumah sakit terdekat. Penting diingat bahwa Anda tidak boleh mengemudi seorang diri ke rumah sakit, kecuali bila tidak ada pilihan lain.","Angin Duduk"
"Bagaimana cara mencegah penyakit angin duduk?","Angin duduk dapat dicegah melalui beberapa cara berikut:\n\nBerolahraga secara rutin, misalnya bersepeda santai, berjalan kaki, atau berenang\nMengonsumsi makanan yang sehat untuk jantung, terutama makanan yang mengandung serat dan lemak tak jenuh, seperti sayuran, buah-buahan, ikan tuna, dan minyak zaitun\nMenghindari konsumsi makanan yang tinggi garam dan lemak jenuh, seperti santan, gorengan, keju, dan mentega\nMengonsumsi obat secara rutin sesuai anjuran dokter \nMenjaga berat badan ideal\nMenghindari konsumsi minuman beralkohol\nTidak merokok","Angin Duduk"
"Apa saja faktor risiko penyakit emboli?","Angin duduk dapat dicegah melalui beberapa cara berikut:\n\nBerolahraga secara rutin, misalnya bersepeda santai, berjalan kaki, atau berenang\nMengonsumsi makanan yang sehat untuk jantung, terutama makanan yang mengandung serat dan lemak tak jenuh, seperti sayuran, buah-buahan, ikan tuna, dan minyak zaitun\nMenghindari konsumsi makanan yang tinggi garam dan lemak jenuh, seperti santan, gorengan, keju, dan mentega\nMengonsumsi obat secara rutin sesuai anjuran dokter \nMenjaga berat badan ideal\nMenghindari konsumsi minuman beralkohol\nTidak merokok","Emboli"
"Apa saja gejala penyakit emboli yang terjadi di daerah tangan?","Berikut adalah contoh gejala emboli yang terjadi di pembuluh darah arteri tangan atau kaki:\n\nTangan dan kaki terasa dingin dan pucat\nOtot terasa lemah, sulit bergerak\nOtot kram atau kedutan\nNyeri saat berjalan\nMati rasa atau kesemutan","Emboli"
"Bagaimana cara mencegah penyakit emboli?","Emboli tidak selalu dapat dicegah. Meski demikian, ada upaya yang dapat dilakukan untuk mengurangi risiko terjadinya emboli, antara lain:\n\nRutin berolahraga, setidaknya 30 menit sehari\nMinum air putih yang cukup\nMenerapkan pola makan sehat dan bergizi seimbang\nMembatasi asupan garam dengan diet rendah garam\nMempertahankan berat badan ideal\nBerhenti merokok dan hindari konsumsi minuman beralkohol\nTidak duduk terlalu lama atau kurang aktif bergerak\nMenjalani pemeriksaan kesehatan secara berkala","Emboli"
"Apa itu penyakit aritmia?","Aritmia adalah gangguan yang terjadi pada irama jantung. Penderita aritmia bisa merasakan irama jantungnya terlalu cepat, terlalu lambat, atau tidak teratur.","Aritmia"
"Apa saja penyebab penyakit aritmia?","Aritmia terjadi ketika impuls listrik yang berfungsi mengatur detak jantung tidak bekerja dengan baik. Kondisi tersebut dapat disebabkan oleh sejumlah kondisi di bawah ini:\nKonsumsi obat pilek atau obat alergi\nSleep apnea\nHipertensi\nDiabetes\nGangguan elektrolit, seperti kelebihan atau kekurangan kalium, hiperkalemia, dan hipomagnesemia\nGangguan tiroid, misalnya hipertiroidisme\nKelainan katup jantung\nPenyakit jantung bawaan, seperti tetralogy of Fallot\nPenyakit jantung koroner\nSerangan jantung\nKardiomiopati\nTorsade de pointes\n\nSelain kondisi medis, aritmia juga dapat dipicu oleh gaya hidup yang tidak sehat, seperti:\nTidak dapat mengelola stres dengan baik\nKurang tidur\nMerokok\nMengonsumsi minuman beralkohol atau berkafein secara berlebihan\nMenyalahgunakan NAPZA","Aritmia"
"Apa alat bantu untuk menangani pasien yang mengalami syok kardiogenik?","Beberapa alat bantu yang dapat dipasang adalah:\n\nExtracorporeal membrane oxygenation (ECMO), untuk meningkatkan aliran darah dan suplai oksigen ke seluruh tubuh\nPemasangan alat pacu jantung, untuk mengembalikan irama jantung ke dalam kondisi normal","Syok Kardiogenik"
"Apa saja hal yang dapat meningkatkan risiko seseorang mengalami syok kardiogenik?","Selain penyakit dan kondisi yang disebutkan di atas, sejumlah faktor berikut juga bisa meningkatkan risiko seseorang mengalami syok kardiogenik:\n\nBerusia lebih dari 75 tahun\nMenderita gagal jantung\nMenderita diabetes, sepsis, atau pneumothorax\nMenderita berat badan berlebih atau obesitas\nPernah terkena serangan jantung\nPernah menjalani operasi bypass jantung","Syok Kardiogenik"
"Apa gejala dari penyakit kardiomiopati?","Kardiomiopati atau lemah jantung pada awalnya jarang menimbulkan gejala. Gejalanya akan muncul dan berkembang seiring dengan menurunnya kerja jantung dalam memompa darah.\n\nBeberapa gejala yang bisa muncul adalah:\n\nNapas pendek, terutama setelah melakukan aktivitas fisik yang berat\nTungkai membengkak (edema tungkai)\nBatuk terutama saat tidur telentang\nTubuh mudah lelah\nPerut kembung\nNyeri dada\nPenglihatan berkunang-kunang\nJantung berdebar-debar (palpitasi)\nDenyut jantung tidak teratur (aritmia)\nPusing dan pingsan","Kardiomiopati"
"Apa saja komplikasi yang dapat ditimbulkan dari penyakit kardiomiopati?","Kardiomiopati dapat menyebabkan komplikasi serius jika tidak segera terdiagnosis dan ditangani dengan baik. Beberapa komplikasi yang dapat timbul adalah:\n\nGagal jantung\nPenggumpalan darah\nGangguan katup jantung\nHenti jantung dan kematian mendadak","Kardiomiopati"
"Apa saja gejala umum yang dialami oleh seseorang dengan penyakit katup jantung?","Umumnya, penyakit katup jantung memunculkan gejala-gejala di bawah ini:\n\nNyeri dada saat beraktivitas\nJantung berdebar atau berdetak tidak beraturan (aritmia)\nSesak napas\nTubuh lebih mudah lelah\nPusing\nPingsan\nPembengkakan (edema) di bagian kaki, pergelangan kaki,  perut, atau pembuluh darah di leher\nBatuk darah\nGejala penyakit katup jantung bisa berbeda-beda pada setiap penderita, tergantung pada jenis gangguan katup jantung yang dialami dan tingkat keparahannya. Gejala bisa muncul secara perlahan atau bisa juga secara tiba-tiba dan berkembang sangat cepat.","Penyakit Katup Jantung"
"Bagaimana cara mencegah penyakit katup jantung?","Penyakit katup jantung dapat dicegah dengan menangani penyakit atau infeksi yang berisiko menyebabkan masalah pada katup jantung, di antaranya:\n\nMengobati infeksi streptokokus sedini mungkin agar tidak berkembang menjadi demam reumatik, yang dapat meningkatkan risiko terjadinya penyakit katup jantung\nMengobati endokarditis sedini mungkin\nMenerapkan kebersihan gigi dan mulut, untuk mencegah infeksi pemicu penyakit katup jantung \nMengonsumsi obat dan kontrol secara rutin jika memiliki penyakit kronis yang dapat meningkatkan risiko terjadinya kerusakan katup jantung, seperti hipertensi, penyakit jantung koroner, penyakit autoimun, atau diabetes\nBagi orang yang pernah mengalami penyakit katup jantung, terapkan gaya hidup sehat berikut untuk mencegah kondisi ini memburuk:\n\nMengonsumsi makanan bergizi yang rendah akan kolesterol dan lemak tak jenuh, misalnya sayur, buah, ikan, gandum utuh, dan minyak zaitun\nBerolahraga rutin, setidaknya 30 menit setiap hari\nBerhenti merokok\nTidur cukup setiap hari atau melakukan konsultasi online dengan dokter jika sulit tidur\nMelakukan pemeriksaan tekanan darah, fungsi jantung, kadar kolesterol darah, serta kadar gula darah secara rutin dengan dokter","Penyakit Katup Jantung"
"Apa saja hal yang dapat menyebabkan jantung berdebar?","Jantung berdebar tidak selalu akibat penyakit pada jantung. Berikut adalah beberapa kondisi dan penyakit yang dapat menimbulkan keluhan jantung berdebar kencang:\n\n1. Gaya hidup, seperti:\nKebiasaan merokok\nTidur yang tidak cukup\nLatihan fisik yang berat\nEfek konsumsi minuman beralkohol\nKonsumsi minuman berkafein seperti kopi, teh, dan minuman berenergi\nPenyalahgunaan NAPZA, seperti amfetamin, ekstasi, kokain, atau ganja\nPola makan tinggi gula dan lemak\n\n2. Faktor psikologis, misalnya:\nStres atau gelisah\nSerangan panik\nCemas atau takut luar biasa\n\n3. Obat-obatan, antara lain:\nObat asma\nObat tekanan darah tinggi (antihipertensi)\nAntihistamin\nAntidepresan\nObat flu, contohnya obat yang mengandung phenylephrine\n\n4. Perubahan hormon, misalnya pada masa:\nMenstruasi\nKehamilan\nMenopause\n\n5. Gangguan irama jantung atau aritmia, meliputi:\nFibrilasi atrium\nAtrial flutter\nTakikardia ventrikular\nTakikardia supraventrikular\n\n6. Penyakit jantung, antara lain:\nGagal jantung\nPenyakit jantung bawaan\nKardiomiopati\nPenyakit katup jantung\n\n7. Penyakit atau kondisi tertentu, seperti:\nDehidrasi\nDemam di atas 38 derajat Celcius\nHipertiroidisme\nAnemia\nPheochromocytoma\nHipotensi ortostatik\nKadar gula darah rendah (hipoglikemia)","Jantung Berdebar"
"Kapan seseorang harus dibawa ke dokter ketika mengalami jantung berdebar?","Sensasi jantung berdebar umumnya tidak disebabkan oleh kondisi yang berbahaya dan dapat hilang dengan beristirahat dan tanpa pengobatan khusus. Meski demikian, pemeriksaan oleh dokter perlu segera dilakukan jika jantung berdebar sering kambuh, memburuk, atau terjadi lama hingga hitungan jam.\n\nPemeriksaan juga diperlukan bila orang yang mengalami jantung berdebar memiliki riwayat penyakit maupun operasi jantung, atau terdapat riwayat penyakit jantung pada keluarga.\n\nSegera ke IGD rumah sakit jika jantung berdebar tidak membaik dengan beristirahat, atau disertai dengan keluhan berikut:\n\nNyeri dada seperti tertekan, yang bisa menjalar ke bahu, dagu, punggung, atau lengan\nTubuh terasa lemah\nSesak napas\nKeringat dingin\nPusing hebat\nLinglung\nPingsan","Jantung Berdebar"
"Apa saja komplikasi akibat jantung berdebar?","Jantung berdebar jarang menyebabkan komplikasi. Namun, pada jantung berdebar yang disebabkan oleh penyakit jantung, beberapa komplikasi yang dapat terjadi meliputi:\n\nStroke\nHenti jantung\nGagal jantung","Jantung Berdebar"
"Apa itu penyakit kardiomegali?","Kardiomegali adalah membesarnya ukuran jantung akibat penyakit tertentu, seperti tekanan darah tinggi atau penyakit jantung koroner. Tergantung pada penyebabnya, kondisi ini bisa terjadi secara permanen atau hanya sementara.\n\nKardiomegali biasanya terjadi karena penyakit atau kondisi yang menyebabkan jantung harus bekerja lebih keras untuk memompa darah. Akibatnya, otot jantung menebal sehingga ukuran jantung membesar.\n\nKardiomegali dapat terlihat melalui pemindaian, seperti foto Rontgen. Kondisi ini umumnya bukan merupakan suatu keadaan darurat. Namun, penting untuk mencari tahu penyebab kardiomegali sehingga penanganan yang tepat bisa diberikan dan komplikasinya dapat dicegah.","Kardiomegali"
"Apa saja obat yang dapat mengatasi penyakit kardiomegali?","Untuk mengatasi kardiomegali yang disebabkan oleh tekanan darah tinggi atau gagal jantung, dokter dapat memberikan beberapa obat-obatan berikut:\n\nObat penurun tekanan darah golongan ACE inhibitors, seperti captopril; atau obat ARB, seperti candesartan\nObat penghambat beta (beta blockers), seperti bisoprolol, untuk mengontrol tekanan darah dan meningkatkan fungsi pompa jantung\nObat diuretik, untuk mengurangi penumpukan cairan di dalam tubuh agar tekanan darah menurun dan pembengkakan berkurang\n\nUntuk mengatasi penyebab kardiomegali yang terkait dengan irama jantung, dokter dapat meresepkan obat pengontrol denyut jantung, seperti digoxin. Apabila pasien berisiko menderita stroke atau serangan jantung, dokter juga dapat memberikan obat pengencer darah.","Kardiomegali"
"Bagaimana kelainan jantung yang dialami oleh seseorang dengan penyakit tetralogy of fallot?","Berikut ini adalah empat kelainan jantung yang terjadi pada ToF:\n\nVentricular septal defect (VSD), yaitu lubang di dinding yang memisahkan ventrikel kanan dan kiri\nPulmonary valve stenosis, yaitu penyempitan pada katup pembuluh darah yang ke paru-paru (katup pulmonal) sehingga darah dari jantung yang ke paru-paru berkurang\nPosisi aorta tidak normal, yakni bergeser ke kanan mengikuti VSD yang terbentuk\nRight ventricular hypertrophy atau penebalan pada otot ventrikel kanan jantung akibat jantung bekerja terlalu keras untuk memompa darah","Tetralogy of Fallot"
"Bagaimana cara mencegah bayi agar terhindar dari penyakit tetralogy of fallot?","Penyakit jantung bawaan umumnya tidak dapat dicegah, termasuk tetralogy of Fallot. Namun, ada beberapa upaya yang dapat dilakukan oleh ibu hamil untuk mengurangi risiko bayi terlahir dengan kondisi ini, yaitu:\n\nKonsultasikan terlebih dahulu dengan dokter sebelum mengonsumsi obat-obatan, termasuk obat herbal atau obat yang bisa dibeli di apotik.\nKonsumsi suplemen asam folat 400 mcg setiap hari pada trimester pertama kehamilan.\nPastikan telah mendapatkan imunisasi rubella dan flu sebelum hamil.\nJalani pengobatan sesuai yang dianjurkan dokter jika menderita diabetes.\nHindari kebiasaan merokok dan paparan asap rokok, terutama selama hamil.\nJangan mengonsumsi minuman beralkohol dan menggunakan NAPZA.\nHindari kontak dengan orang yang sedang sakit atau terinfeksi.","Tetralogy of Fallot"
"Apa kelainan kondisi pada jantung seseorang yang mengalami takikardia?","Takikardia adalah kondisi jantung yang berdetak melebihi 100 kali per menit. Normalnya, jantung berdetak 60–100 kali per menit. Jika detak jantung lebih dari 100 kali per menit, kondisi ini disebut takikardia.\n\nDetak jantung yang terlalu cepat dapat menyebabkan aliran darah yang masuk ke jantung berkurang. Kondisi ini membuat jantung tidak memiliki cukup darah untuk dialirkan ke seluruh tubuh. Akibatnya, organ dan jaringan yang tidak dialiri darah menjadi kekurangan oksigen.","Takikardia"
"Siapa saja orang yang berisiko mengalami takikardia?","Takikardia atau aritmia lebih sering terjadi pada orang dengan faktor berikut:\n\nBerusia lanjut\nMemiliki penyakit endokrin, seperti diabetes atau penyakit tiroid, yang tidak terkontrol\nMemiliki hipertensi yang tidak terkontrol\nMengalami infeksi bakteri atau virus yang berat\nMenderita atau pernah mengalami hipertensi pulmonal\nMengonsumsi minuman beralkohol secara berlebihan\nMenggunakan NAPZA\nTidak cukup mengonsumsi kalsium, magnesium, atau kalium\n\nTakikardia supraventrikuler lebih sering dialami oleh wanita dan anak-anak, orang yang memiliki kebiasaan merokok, serta orang yang mengonsumsi minuman beralkohol atau berkafein secara berlebihan.","Takikardia"
"Apa penyebab seseorang mengalami iskemia?","Iskemia umumnya disebabkan oleh aterosklerosis, yaitu penumpukan plak lemak di pembuluh darah. Akibatnya, aliran darah pun menjadi terhambat. Penumpukan ini terjadi secara perlahan sehingga jarang disadari.\n\nSelain itu, plak di pembuluh darah bisa pecah dan membentuk gumpalan darah, yang dapat menyumbat pembuluh darah dan menghentikan aliran darah secara tiba-tiba. Gumpalan darah tersebut juga dapat terlepas dan menyumbat pembuluh darah di area lain. Kondisi ini disebut sebagai emboli.","Iskemia"
"Apa gejala iskemia yang terjadi di bagian jantung?","Iskemia di jantung terjadi pada pembuluh darah koroner yang tersumbat sebagian atau seluruhnya. Kondisi ini bisa menyebabakn serangan jantung. \n\nGejala yang dapat muncul akibat iskema jantung antara lain:\n\nNyeri dada seperti tertekan\nNyeri di leher, rahang, bahu, atau lengan\nDetak jantung menjadi lebih cepat\nSesak napas, terutama saat melakukan aktivitas fisik\nMual dan muntah\nBerkeringat dingin\nLemas\nPusing atau sakit kepala ","Iskemia"
"Bagaimana cara mengobati penyakit bradikardia?","Pengobatan bradikardia akan disesuaikan dengan tingkat keparahannya dan penyebabnya. Sebagai contoh, jika penyebabnya adalah hipotiroidisme, dokter akan memberikan terapi yang sesuai untuk mengobati kondisi tersebut.\n\nSementara pada bradikardia yang disebabkan oleh penggunaan obat-obatan, dokter akan menurunkan dosis obat, mengganti jenis obat, atau menghentikan pengobatan.\n\nJika metode di atas tidak menunjukkan perbaikan atau kondisi pasien memburuk, dokter mungkin akan menyarankan penggunaan alat pacu jantung. Alat ini ditanam di dalam dada sebagai pengirim sinyal listrik ke jantung. Dengan begitu, detak jantung dapat kembali normal.","Bradikardia"
"Bagaimana metode pemberian diagnosis pada pasien yang mengalami bradikardia?","Untuk mendiagnosis bradikardia, dokter akan bertanya seputar gejala yang muncul, riwayat penyakit dan obat-obatan yang dikonsumsi pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik, termasuk mengukur tekanan darah dan denyut nadi serta mendengarkan detak jantung pasien menggunakan stetoskop.\n\nUntuk memastikan diagnosis, dokter akan melakukan pemeriksaan penunjang berikut:\n\nElektrokardiografi (EKG), untuk mengetahui aliran listrik pada jantung. Namun, EKG bisa menunjukkan hasil yang normal jika pada saat pemeriksaan pasien tidak mengalami bradikardia.\nHolter monitoring, untuk mendeteksi bradikardia yang mungkin terjadi di lain waktu. Alat ini dapat merekam aktivitas listrik pada jantung secara terus-menerus selama 1–2 hari.\nEvent recorder, untuk melihat aliran listrik pada jantung melalui monitor di alat tersebut. Event recorder akan merekam aktivitas listrik jantung ketika muncul gejala. Alat ini umumnya digunakan selama beberapa minggu hingga 1 bulan.","Bradikardia"
"Apa gejala yang muncul pada anak yang mengalami miokarditis?","Tanda dan gejala yang umumnya muncul pada anak-anak dan bayi dengan miokarditis adalah: \n\nLemas\nHilang nafsu makan\nBatuk\nSulit bernapas\nDemam\nKulit pucat\nLebih rewel daripada biasanya\nNyeri dada\nTangan atau kaki yang dingin","Miokarditis"
"Bagaimana upaya pencegahan penyakit miokarditis?","Sampai saat ini, belum diketahui secara pasti bagaimana cara untuk mencegah miokarditis. Namun, risiko terkena kondisi ini bisa dikurangi dengan melakukan upaya-upaya berikut:\n\nSelalu menjaga kebersihan diri, makanan, dan tempat tinggal \nMelakukan vaksinasi sesuai anjuran dokter\nMenghindari kontak dengan orang yang sedang sakit\nBerhubungan seks secara sehat, yaitu dengan memakai kondom dan tidak bergonta-ganti pasangan\nMengonsumsi obat sesuai aturan pakai dan dosis yang tertera, atau sesuai anjuran dokter\nMenghindari penggunaan obat-obatan terlarang","Miokarditis"
"Apa gejala yang muncul pada penderita hipertensi pulmonal?","Beberapa gejala awal hipertensi pulmonal yang mungkin muncul adalah:\n\nNapas yang pendek atau terputus-putus\nNyeri atau rasa tertekan di dada\nNyeri di perut bagian kanan atas\nJantung berdebar\nLemas\nSuara serak\nHilang nafsu makan\n\nSedangkan gejala yang muncul saat kondisi telah bertambah parah meliputi:\n\nPembengkakan di area tungkai dan perut\nPusing saat sedang berolahraga\nWarna bibir atau kulit yang kebiruan\nBatuk kering atau batuk berdarah\nPingsan","Hipertensi Pulmonal"
"Apa obat yang dapat diberikan pada penderita hipertensi pulmonal?","Jenis obat yang bisa diberikan antara lain:\n\nSildenafil atau tadalafil\nSildenafil dan tadalafil berfungsi membuka pembuluh darah paru-paru agar darah dapat mengalir dengan lebih mudah.\n\nAntagonis kalsium\nObat ini berfungsi melemaskan otot pembuluh darah, tetapi hanya ampuh pada sebagian penderita hipertensi pulmonal. Beberapa obat yang termasuk ke dalam golongan ini adalah nifedipine, diltiazem, dan amlodipine.\n\nAntikoagulan\nAntikoagulan, seperti warfarin, merupakan obat pengencer darah yang berfungsi menghambat terbentuknya gumpalan darah di arteri paru-paru. Meski obat ini sering digunakan, penggunaannya perlu dievaluasi secara rutin karena dapat meningkatkan risiko terjadinya perdarahan.\n\nDiuretik\nDiuretik adalah obat yang berfungsi mengurangi cairan di dalam tubuh sehingga kerja jantung menjadi lebih ringan. Obat ini juga dapat mengurangi penumpukan cairan di paru-paru, tungkai, dan perut pada pasien yang sudah mengalami komplikasi gagal jantung.\n\nDigoxin\nDigoxin adalah obat yang berfungsi membantu jantung berdenyut lebih kuat agar dapat memompa lebih banyak darah. Obat ini juga dapat mengendalikan denyut jantung menjadi lebih teratur.\n\nVasodilator\nVasodilator digunakan untuk melemaskan dan membuka pembuluh darah yang menyempit di paru-paru. Dengan begitu, darah dapat mengalir lebih baik. Contoh obat dari golongan ini antara lain epoprostenol, beraprost, dan iloprost.","Hipertensi Pulmonal"
"Apa saja hal yang dapat meningkatkan risiko terkena penyakit hipertensi pulmonal?","Risiko terkena hipertensi pulmonal lebih dapat meningkat pada orang dengan kondisi berikut:\n\nBerjenis kelamin wanita\nBerusia 30 tahun ke atas\nMenderita berat badan berlebih\nMemiliki keluarga dengan riwayat hipertensi pulmonal\nMenderita kelainan lahir, seperti penyakit jantung bawaan atau sindrom Down\nMemiliki kondisi medis lain, seperti penyakit hati, penyakit penggumpalan darah, penyakit ginjal kronis, atau penyakit tiroid\nMengonsumsi obat-obatan penurun berat badan\nMengonsumsi obat selective serotonin reuptake inhibitors (SSRIs) untuk mengatasi depresi dan gangguan kecemasan\nMemiliki kebiasaan merokok\nMenyalahgunakan NAPZA, seperti kokain\nTerpapar asbes","Hipertensi Pulmonal"
