topic,subtopic,content
Hipertensi,Pencegahan Hipertensi,"Cara mencegah hipertensi adalah dengan menghindari faktor yang dapat meningkatkan risiko terserang penyakit ini. Beberapa cara efektif yang dapat dilakukan adalah:
- Pertahankan berat badan ideal.
- Lakukan olahraga secara rutin minimal 30 menit setiap hari.
- Cukupi waktu tidur dan istirahat.
- Kelola stres dengan baik.
- Konsumsi makanan rendah lemak dan kaya serat, seperti buah dan sayuran.
- BatasiÂ konsumsiÂ garam atau micin dalam makanan, tidak lebih dari satu sendok teh per hari.
- Hindari konsumsi minuman beralkohol.
- Batasi konsumsi minuman berkafein.
- Hentikan kebiasaan merokok.
- Lakukan pemeriksaan kesehatan dan skrining hipertensi secara rutin.
Deteksi dini hipertensi dapat dilakukan dengan melakukan pemeriksaan tekanan darah secara mandiri dengan menggunakan tensimeter yang tepat. Selain itu, konsultasikan dengan dokter mengenai pemilihan tensimeter yang tepat untuk di rumah.
"
Penyakit Jantung,Pengertian Penyakit Jantung,"Penyakit jantung adalah kondisi ketika bagian jantung yang meliputi pembuluh darah jantung, selaput jantung, katup jantung, dan otot jantung mengalami gangguan. Penyakit jantung bisa disebabkan oleh berbagai hal, seperti sumbatan pada pembuluh darah jantung, peradangan, infeksi, atau kelainan bawaan.
Jantung adalah organ vital yang terdiri dari otot dan terbagi menjadi empat ruang. Ruang jantung dibatasi oleh katup jantung yang berfungsi mengatur aliran darah agar bergerak ke satu arah.

Pada dinding jantung, terdapat pembuluh darah jantung atau arteri koroner yang mengalirkan darah kaya oksigen ke seluruh bagian jantung. Pembuluh ini memiliki dua cabang, yaitu pembuluh darah koroner kanan dan kiri.
Jantung juga memiliki dua selaput yang disebut perikardium. Fungsinya adalah untuk melindungi jantung, menjaga posisi jantung tetap pada tempatnya, dan mencegah terjadinya luka akibat gesekan ketika berdenyut.
"
Penyakit Jantung,Penyebab Penyakit Jantung,"Penyebab penyakit jantung sangat bervariasi, mulai dari masalah pada pembuluh darah jantung, irama jantung, hingga kelainan lahir. Berikut adalah penyebab penyakit jantung berdasarkan jenisnya:
"
Penyakit Jantung,Penyebab Penyakit Jantung: Penyakit Jantung Koroner,"Penyakit jantung koroner merupakan jenis penyakit jantung yang paling sering terjadi. Kondisi ini muncul ketika pembuluh darah jantung menyempit atau tersumbat. Akibatnya, jantung kekurangan darah yang kaya oksigen dan nutrisi.
Penyakit jantung koroner umumnya disebabkan oleh aterosklerosis, yaitu penyempitan pembuluh darah akibat penumpukan lemak (kolesterol) dan kalsium. Kondisi ini juga bisa menyebabkan pembuluh darah menjadi lebih kaku, sehingga membuat aliran darah jantung tidak lancar.
Ada beberapa kondisi atau faktor yang bisa meningkatkan risiko seseorang untuk terkena penyakit jantung koroner, di antaranya:
- Hipertensi
- Tingginya kadar kolesterol dalam darah (hiperkolesterolemia)
- Kebiasaan merokok
- Diabetes
- Obesitas
- Jarang olahraga
- Kebiasaan sering mengonsumsi minuman beralkohol berlebihan
"
Penyakit Jantung,Penyebab Penyakit Jantung: Gangguan Irama Jantung,"Gangguan irama jantung atau aritmia adalah kondisi denyut jantung yang tidak normal. Aritmia terjadi ketika impuls listrik yang mengatur irama jantung tidak berfungsi dengan baik. Akibatnya, jantung dapat berdetak terlalu cepat (takikardia), terlalu lambat (bradikardia), atau tidak beraturan (flutter atau fibrilasi)
Aritmia dapat disebabkan oleh sejumlah kondisi berikut:
- Penyakit tiroid
- Hipertensi atau diabetes yang tidak terkontrol
- Torsade de Pointes
- Konsumsi minuman beralkohol atau berkafein secara berlebihan
- Kebiasaan merokok
- Efek samping obat-obatan
- Penyakit katup jantung
- Penyakit jantung koroner
- Penyalahgunaan NAPZA
"
Penyakit Jantung,Penyebab Penyakit Jantung: Penyakit Jantung Bawaan,"Penyakit jantung bawaan adalah kelainan pada bentuk dan fungsi jantung yang terjadi sejak lahir. Kelainan dapat terletak di katup jantung, dinding jantung, atau di pembuluh darah. Contoh penyakit jantung bawaan adalah sindrom Eisenmenger, patent ductus arteriosus, atrial septal defect, atau tetralogy of Fallot.
Penyakit jantung bawaan terjadi akibat gangguan pada proses perkembangan jantung saat bayi masih di dalam kandungan. Belum diketahui apa yang menyebabkan kondisi tersebut. Akan tetapi, gangguan perkembangan jantung janin tersebut diduga terjadi pada ibu hamil dengan kondisi-kondisi berikut:
- Menggunakan obat-obatan tertentu, seperti obat antikejang atau ibuprofen
- Terpapar bahan kimia berbahaya
- Menderita rubella
- Mengonsumsi minuman beralkohol, merokok, atau menyalahgunakan NAPZA
- Menderita diabetes yang tidak terkontrol
- Memiliki keluarga yang pernah menderita kelainan jantung bawaan
"
Penyakit Jantung,Penyebab Penyakit Jantung: Kardiomiopati,"Jenis lain dari penyakit jantung adalah kardiomiopati. Kardiomiopati adalah gangguan pada otot jantung yang mengakibatkan jantung tidak kuat memompa darah ke seluruh tubuh. Kondisi ini sangat berbahaya, karena bisa berkomplikasi menjadi gagal jantung hingga henti jantung mendadak.
Belum diketahui apa yang menyebabkan kardiomiopati. Namun, ada dugaan kondisi ini terkait dengan:
- Tekanan darah tinggi yang tidak terkontrol
- Kerusakan otot jantung akibat serangan jantung
- Gangguan metabolik, seperti penyakit tiroid dan diabetes
- Kekurangan vitamin B1 (penyakit beri-beri)
- Penumpukan zat besi di otot jantung (hemokromatosis)
- Komplikasi kehamilan
- Kecanduan alkohol
- Penyalahgunaan NAPZA
"
Penyakit Jantung,Penyebab Penyakit Jantung: Infeksi Jantung,"Penyakit jantung juga dapat terjadi akibat infeksi atau peradangan di lapisan dalam jantung (endokardium), otot jantung (miokardium), atau pada selaput yang melapisi jantung (perikardium). Beberapa jenis penyakit jantung akibat infeksi adalah miokarditis, endokarditis, dan perikarditis.
Infeksi jantung dapat disebabkan oleh virus, bakteri, parasit, atau jamur. Pemicu penyakit ini juga bervariasi, antara lain:
- Infeksi, seperti COVID-19, Streptococcus, toksoplasma, dan candida
- Kebersihan mulut dan gigi yang tidak terjaga
- Pemakaian kateter, misalnya kateter untuk cuci darah, yang terlalu lama
- Penyalahgunaan NAPZA
- Cedera pada jantung akibat benturan atau kecelakaan
- Penyakit lain, seperti AIDS, gagal ginjal, lupus, TBC dan kanker
"
Penyakit Jantung,Penyebab Penyakit Jantung: Penyakit Katup Jantung,"Penyakit katup jantung terjadi akibat kerusakan pada katup jantung. Kerusakan tersebut dapat disebabkan oleh penyempitan (stenosis) atau kebocoran katup (insufisiensi atau regurgitasi).
Penyakit katup jantung dapat dialami sejak lahir (kongenital) atau disebabkan oleh beberapa kondisi berikut:
- Demam rematik
- Endokarditis akibat infeksi
- Penyakit autoimun
"
Penyakit Jantung,Penyebab Penyakit Jantung: Faktor Risiko Penyakit Jantung,"Penyakit jantung lebih berisiko terjadi pada orang dengan faktor-faktor berikut:
- Rokok
Kandungan nikotin dan karbonmonoksida di dalam asap rokok dapat merusak lapisan dalam jantung dan menyempitkan pembuluh darah. Oleh sebab itu, serangan jantung lebih sering terjadi pada perokok.
- Riwayat keluarga
Risiko terserang penyakit jantung cukup tinggi jika memiliki memiliki ayah atau saudara laki-laki yang terkena penyakit jantung sebelum usia 55 tahun. Risiko yang sama juga bisa dialami jika memiliki ibu atau saudara perempuan yang menderita penyakit jantung sebelum usia 65 tahun
- Pola makan buruk
Konsumsi makanan tinggi lemak, gula, garam, dan kolesterol, bisa meningkatkan risiko penyakit jantung.
- Hipertensi
Tekanan darah tinggi yang tidak terkendali dapat membuat pembuluh darah menebal sehingga mempersempit aliran darah.
- Kadar kolesterol tinggi
Kolesterol tinggi dan trigliserida yang berlebihan dapat membentuk timbunan plak di pembuluh darah. Hal ini kemudian dapat meningkatkan risiko terjadinya aterosklerosis.
- Diabetes
Diabetes yang tidak terkontrol dapat menimbulkan komplikasi pada pembuluh darah sehingga mengakibatkan penyakit jantung koroner.
- Kurang menjaga kebersihan diri
Tidak rutin mencuci tangan atau menyikat gigi dapat membuat bakteri dan virus masuk ke dalam tubuh dan memicu infeksi jantung.
- Usia
Bertambahnya usia dapat meningkatkan risiko otot jantung melemah dan menebal. Pertambahan usia juga menyebabkan pembuluh darah menjadi lebih kaku sehingga tekanan darah lebih tinggi.
- Jenis kelamin
Pria lebih berisiko terserang penyakit jantung daripada wanita. Namun, risiko penyakit jantung akan meningkat pada wanita setelah masa menopause.
Selain sejumlah faktor di atas, kurang berolahraga, stres berat, dan mengalami obesitas juga bisa meningkatkan risiko penyakit jantung.
"
Penyakit Jantung,Gejala Penyakit Jantung,"Gejala penyakit jantung sangat beragam, tergantung pada jenis penyakit jantung itu sendiri. Berikut ini adalah sejumlah gejala yang dapat muncul pada masing-masing jenis penyakit jantung:
1. Gejala penyakit jantung koroner:
- Nyeri dada
- Dada terasa seperti tertindih atau tertekan
- Sesak napas
- Lemas, sakit, mati rasa, atau kedinginan di kaki
- Nyeri di leher, rahang, tenggorokan, punggung, atau perut bagian atas
2. Gejala aritmia:
- Jantung berdebar atau malah berdetak lambat
- Perubahan pada irama jantung
- Nyeri atau rasa tidak nyaman di dada
- Sesak napas
- Pingsan atau terasa akan pingsan
3. Gejala penyakit jantung bawaan:
- Sianosis atau warna kulit yang membiru
- Pembengkakan di kaki, perut, atau sekitar mata
- Napas tersengal-sengal atau sesak
- Mudah lelah saat beraktivitas
- Pertumbuhan dan perkembangan terhambat pada anak
4. Gejala kardiomiopati:
- Sesak napas, baik saat beraktivitas maupun beristirahat
- Pembengkakan di kaki
- Pusing dan terasa ingin pingsan
- Mudah lelah
5. Gejala penyakit jantung akibat infeksi:
- Demam
- Nyeri dada
- Batuk kering yang tidak membaik
- Perubahan pada irama jantung
- Ruam kulit
- Sesak napas
6. Gejala penyakit katup jantung:
- Pembengkakan di kaki
- Nyeri dada
- Sesak napas
- Lemas
- Pingsan
"
Penyakit Jantung,Gejala Penyakit Jantung: Kapan Harus ke Dokter,"Penyakit jantung akan lebih mudah ditangani bila terdeteksi lebih awal. Oleh sebab itu, konsultasikan dengan dokter jika mengalami gejala di atas. Diskusikan juga mengenai cara yang perlu dilakukan untuk mengurangi risiko terkena penyakit jantung, terutama bila Anda memiliki keluarga yang pernah menderita penyakit jantung.
Penanganan di IGD perlu segera dilakukan pada orang yang mengalami gejala-gejala serangan jantung berikut:
- Nyeri dada parah yang terasa seperti ditindih benda berat
- Sesak napas
- Keringat dingin
- Pingsan
"
Penyakit Jantung,Diagnosis Penyakit Jantung,"Sebelum melakukan pemeriksaan, dokter akan terlebih dahulu bertanya tentang gejala yang dialami pasien, serta riwayat penyakit pasien dan keluarganya. Setelah itu, dokter akan memeriksa detak jantung dan tekanan darah pasien.
Selanjutnya, dokter akan menyarankan tes darah untuk mengukur kadar kolesterol, troponin, dan protein C-reaktif (CRP).
Untuk memperkuat diagnosis, dokter akan melakukan pemeriksaan lanjutan. Jenis pemeriksaannya akan disesuaikan dengan jenis penyakit jantung yang diduga dialami pasien, antara lain:
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Elektrokardiografi (EKG),"EKG bertujuan untuk mendeteksi kelainan pada irama dan struktur jantung dengan merekam sinyal listrik jantung. EKG dapat dilakukan saat pasien sedang beristirahat atau berolahraga.
EKG dilakukan dengan menempelkan 10â12 elektroda ke tubuh pasien. Elektroda tersebut terhubung ke mesin yang akan merekam sinyal listrik jantung pasien.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Ekokardiografi,"Ekokardiografi adalah pemeriksaan jantung menggunakan gelombang suara (USG). Ekokardiografi membantu dokter mengevaluasi kondisi otot dan katup jantung pasien.
Ekokardiografi dapat dilakukan dengan menggerakkan transduser di dada pasien, atau memasukkan transduser yang lebih kecil ke kerongkongan. Transduser ini berfungsi mengirim gelombang suara dari dan ke jantung untuk diterjemahkan menjadi gambar di monitor.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Uji tekanan (stress test),"Uji tekanan adalah pemeriksaan kondisi jantung saat detak jantung pasien meningkat. Dalam tes ini, pasien akan diminta mengayuh sepeda statis atau berlari di treadmill selama beberapa menit. Pada saat yang sama, dokter akan memantau reaksi tubuh pasien saat detak jantung meningkat.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Holter monitoring,"Dalam pemeriksaan ini, pasien akan diminta memakai suatu perangkat di dada yang disebut monitor Holter. Monitor ini akan merekam aktivitas listrik jantung selama 1â3 hari.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Tilt table test,"Jika gejala penyakit jantung yang dialami pasien sampai membuatnya pingsan, dokter akan melakukan tilt table test. Dalam tes ini, pasien akan dibaringkan di meja yang digerakkan dari posisi horizontal ke vertikal. Saat meja bergerak, tekanan darah, detak jantung, dan kadar oksigen dalam tubuh pasien akan dipantau.
Tilt table test membantu dokter mengetahui apakah pasien pingsan akibat penyakit jantung atau kondisi lain.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: CT scan jantung,"CT scan jantung menggunakan sinar X untuk menampilkan gambar jantung pasien dan pembuluh darah jantung. Pemeriksaan ini bisa dilakukan untuk mendeteksi apakah ada plak di arteri koroner.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: MRI jantung,"MRI (magnetic resonance imaging) menggunakan teknologi medan magnet dan gelombang suara untuk menampilkan gambar organ dalam tubuh pasien. Gambar tersebut akan dianalisis oleh dokter guna menentukan jenis penyakit jantung yang diderita pasien.
"
Penyakit Jantung,Diagnosis Penyakit Jantung: Katerisasi jantung,"Katerisasi jantung dilakukan dengan memasukkan kateter melalui pembuluh darah di paha atau lengan. Dengan bantuan foto Rontgen, dokter akan mengarahkan kateter sampai ke jantung. Penyuntikan cairan kontras juga bisa dilakukan untuk menampilkan gambar organ dalam dengan lebih jelas.
Prosedur katerisasi jantung dapat membantu dokter mengetahui kondisi pembuluh darah, katup jantung, dan aliran darah ke jantung.
"
Penyakit Jantung,Pengobatan Penyakit Jantung,"Pengobatan penyakit jantung tergantung pada jenis penyakitnya. Sebagai contoh, dokter akan meresepkan antibiotik guna mengatasi penyakit jantung akibat infeksi. Sementara untuk mengatasi penyakit jantung koroner, dokter akan meresepkan obat-obatan dan menyarankan pasien mengubah gaya hidup menjadi lebih sehat.
Pada umumnya, metode pengobatan penyakit jantung meliputi:
"
Penyakit Jantung,Pengobatan Penyakit Jantung: Perbaikan Gaya Hidup,"Menjalani pola hidup sehat dapat mencegah perburukan penyakit jantung. Beberapa cara yang dapat dilakukan adalah:
- Berhenti merokok
- Berolahraga ringan 30 menit sehari
- Mengonsumsi makanan rendah lemak dan rendah garam
- Membatasi konsumsi minuman beralkohol
"
Penyakit Jantung,Pengobatan Penyakit Jantung: Obat-obatan,"Obat yang digunakan untuk mengobati penyakit jantung tergantung kepada jenis penyakit jantung itu sendiri. Beberapa golongan obat yang umumnya digunakan dalam pengobatan penyakit jantung, antara lain:
- Obat golongan ACE inhibitor, seperti captopril dan ramipril, atau angiotensin II receptor blockers, seperti valsartan atau losartan, untuk menurunkan tekanan darah
- Obat golongan antagonis kalsium, misalnya amlodipine dan nifedipine, untuk melebarkan pembuluh darah sehingga tekanan darah menurun
- Obat pengencer darah, seperti heparin, warfarin, aspirin, atau clopidrogel untuk mencegah penggumpalan darah sehingga tidak menyumbat pembuluh darah jantung
- Obat penghambat beta, seperti metoprolol dan bisoprolol, untuk menekan efek adrenalin yang meningkatkan detak jantung, sehingga jantung tidak bekerja terlalu keras
- Obat penurun kolesterol, seperti simvastatin atau atorvastatin, untuk menurunkan kolesterol sehingga plak pembuluh darah tidak bertambah
- Obat nitrat, seperti nitrogliserin dan isosorbide dinitrate, untuk melebarkan pembuluh darah pada pasien penyakit jantung koroner
"
Penyakit Jantung,Pengobatan Penyakit Jantung: Operasi,"Pada beberapa kasus, dokter akan menjalankan prosedur bedah untuk mengatasi penyakit jantung. Sebagai contoh, dokter akan memasang stent maupun ring, atau operasi bypass jantung pada pasien yang mengalami serangan jantung.
Prosedur medis lain yang dapat dilakukan adalah:
- Operasi katup jantung, untuk memperbaiki atau mengganti katup jantung yang rusak
- Pemasangan alat pacu jantung, untuk mengatasi gangguan irama jantung
- Ablasi jantung, untuk mengatasi gangguan irama jantung
- Transplantasi jantung, untuk mengganti jantung pasien yang rusak dengan jantung baru dari pendonor
"
Penyakit Jantung,Komplikasi Penyakit Jantung,"Penyakit jantung merupakan kondisi berbahaya yang dapat mengancam nyawa. Sejumlah komplikasi yang dapat terjadi akibat penyakit jantung adalah:
"
Penyakit Jantung,Pencegahan Penyakit Jantung,"Penyakit jantung yang disebabkan oleh kelainan bawaan tidak dapat dicegah. Namun, jenis penyakit jantung lain dapat dicegah dengan menjalani pola hidup sehat. Selain sebagai pencegahan, pola hidup sehat di bawah ini juga dapat membantu pasien dalam proses penyembuhan:
- Hentikan kebiasaan merokok untuk menurunkan risiko terkena penyakit jantung, terutama penyakit jantung koroner.
- Kontrol tekanan darah agar tetap normal, yaitu di bawah 120/80mm Hg.
- Jaga kadar kolesterol LDL di bawah 130 mg/dL (jika tidak memiliki risiko penyakit jantung), di bawah 100 mg/dL (jika memiliki risiko penyakit jantung), atau kurang dari 70 mg/dL (jika menderita penyakit jantung atau diabetes).
- Kontrol kadar gula darah puasa di bawah 100 mg/dL, gula darah 2 jam setelah makan di bawah 200 mg/dL, serta kadar HbA1c di bawah 5,7%
- Lakukan olahraga selama 30â60 menit setiap hari untuk membantu mengontrol kadar kolesterol, tekanan darah, dan gula darah. Namun, jika Anda menderita aritmia atau kelainan jantung bawaan, diskusikan terlebih dahulu dengan dokter mengenai jenis dan durasi olahraga yang aman.
- Perbanyak konsumsi buah, sayuran, dan lemak omega-3. Selain itu, batasi konsumsi daging merah dan hindari makanan tinggi gula, lemak jenuh, garam, dan kolesterol. Ketahui juga kandungan dalam makanan yang dikonsumsi dan usahakan untuk mengonsumsi makanan yang kaya nutrisi dan rendah kalori.
- Pertahankan berat badan ideal untuk mencegah obesitas. Usahakan agar indeks massa tubuh (IMT) tidak lebih dari 25, serta ukuran lingkar pinggang di bawah 90 cm untuk pria dan di bawah 80 cm untuk wanita. Dengan begitu, risiko terserang penyakit jantung pun akan menurun.
- Kurangi stres dengan melakukan latihan pernapasan dan relaksasi, seperti yoga. Selain itu, meluangkan lebih banyak waktu bersama keluarga atau teman dan tidur yang cukup juga dapat membantu meredakan stres.
- Terapkan kebiasaan hidup bersih, seperti rutin mencuci tangan dan menyikat gigi, serta menghindari kontak dengan orang yang sedang terserang penyakit infeksi, seperti flu.
- Lakukan pemeriksaan kesehatan secara berkala.
"
